airport,year,X.month,carrier,arr_flights,arr_del15,carrier_ct,X.weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,X.arr_delay,X.carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,Latitude,Longitude
ORD,2012,1,DL,403,66,19.16,3.05,30.61,1,12.18,6,1,3389,784,365,1493,30,717,41.978603,-87.904842
ORD,2004,9,AA,7570,571,147.79,14.25,240,4,164.96,148,4,32586,10885,977,11268,317,9139,41.978603,-87.904842
ORD,2008,7,B6,215,78,11.67,0.62,49.77,0,15.94,7,1,4999,854,13,2707,0,1425,41.978603,-87.904842
ORD,2011,5,US,628,213,48.97,1.9,130.37,1.75,30.01,18,2,15496,3257,81,10013,148,1997,41.978603,-87.904842
ORD,2015,7,AS,196,23,6.16,0,15.78,0,1.06,0,0,792,265,0,503,0,24,41.978603,-87.904842
ORD,2008,8,OH,177,44,16.93,3,22.31,0,1.76,8,0,3916,1307,510,1993,0,106,41.978603,-87.904842
ORD,2012,7,DL,544,148,42.24,5.57,50.71,0,49.48,5,2,9228,2969,495,2566,0,3198,41.978603,-87.904842
ORD,2004,5,DH,3777,1320,97.64,15.63,687.95,0.28,518.5,273,30,112976,8179,1837,51892,5,51063,41.978603,-87.904842
ORD,2004,4,CO,438,158,21,1.6,115.54,0,19.87,2,0,8866,1123,66,6510,0,1167,41.978603,-87.904842
ORD,2010,8,MQ,6989,1311,216.09,46.19,493.57,0,555.14,110,20,84209,25565,3112,25631,0,29901,41.978603,-87.904842
ORD,2012,4,AA,4369,533,142.94,17.86,180.39,0.67,191.15,38,8,29802,9456,1745,5802,10,12789,41.978603,-87.904842
ORD,2004,3,CO,444,189,10.24,2.19,162.23,0,14.35,11,1,14067,679,92,12318,0,978,41.978603,-87.904842
ORD,2008,3,NW,627,225,64.29,44.04,92.62,0.26,23.79,32,0,12163,3077,2571,4872,10,1633,41.978603,-87.904842
ORD,2014,10,F9,98,46,7.2,0,26.11,0,12.69,0,0,4020,347,0,1758,0,1915,41.978603,-87.904842
ORD,2011,6,US,609,179,60.8,5.34,67.45,0,45.41,14,1,9687,3006,764,3395,0,2522,41.978603,-87.904842
ORD,2010,9,B6,200,44,16.22,0,20.21,0,7.58,1,0,2762,1325,0,743,0,694,41.978603,-87.904842
ORD,2011,6,AA,4670,954,235.49,26,328.97,0.13,363.4,226,8,68320,14109,2423,22479,11,29298,41.978603,-87.904842
ORD,2009,9,B6,163,19,8.11,0,10.89,0,0,0,0,916,509,0,407,0,0,41.978603,-87.904842
ORD,2004,6,CO,421,163,12.47,6.94,127.56,0,16.02,3,2,11132,466,709,8755,0,1202,41.978603,-87.904842
ORD,2005,3,OO,2371,506,125,17,321,0,43,55,0,27494,5232,1388,18748,0,2126,41.978603,-87.904842
ORD,2010,6,AS,176,37,6.91,0.32,26.8,0,2.97,0,1,1968,303,10,1595,0,60,41.978603,-87.904842
ORD,2006,9,OO,4175,989,251,20,540,1,177,221,0,90391,10744,2644,64244,16,12743,41.978603,-87.904842
ORD,2006,7,NW,576,159,60.12,26.75,58.83,0,13.3,9,1,8036,3782,1329,2257,0,668,41.978603,-87.904842
ORD,2005,2,OO,1756,327,90,8,203,3,23,80,0,21550,4495,620,15220,140,1075,41.978603,-87.904842
